Date,Open,High,Low,Close
25-Mar-20,26499.81,28790.19,26359.91,28535.78
26-Mar-20,29073.71,30099.91,28566.34,29946.77
27-Mar-20,30747.81,31126.03,29346.99,29815.59
30-Mar-20,29226.55,29497.57,28290.99,28440.32
31-Mar-20,29294.94,29770.88,28667.36,29468.49
01-Apr-20,29505.33,29505.98,28073.43,28265.31
03-Apr-20,28623.53,28639.12,27500.79,27590.95
07-Apr-20,28898.36,30157.65,28602.31,30067.21
08-Apr-20,29701.92,31227.97,29602.94,29893.96
09-Apr-20,30571.19,31225.2,30420.22,31159.62
13-Apr-20,31195.72,31195.72,30474.15,30690.02
15-Apr-20,31277.11,31568.36,30222.07,30379.81
16-Apr-20,30095.51,30800.2,30016.17,30602.61
17-Apr-20,31656.68,31718.73,30960.94,31588.72
20-Apr-20,32056.19,32056.47,31490.26,31648
21-Apr-20,30836.19,30900.12,30378.26,30636.71
22-Apr-20,30856.14,31471.14,30578.55,31379.55
23-Apr-20,31646.45,31959.02,31292.92,31863.08
24-Apr-20,31426.62,31842.24,31278.27,31327.22
27-Apr-20,31659.04,32103.7,31651.58,31743.08
28-Apr-20,32101.91,32199.91,31661.34,32114.52
29-Apr-20,32311.04,32897.59,32171.65,32720.16
30-Apr-20,33381.19,33887.25,33354.93,33717.62
04-May-20,32748.14,32748.14,31632.02,31715.35
05-May-20,32182.9,32264,31403.57,31453.51
06-May-20,31577.63,31970.84,31158.75,31685.75
07-May-20,31677.69,31705.25,31362.87,31443.38
08-May-20,32083.32,32088.51,31598,31642.7
11-May-20,32030.34,32301.58,31500.87,31561.22
12-May-20,31342.93,31536.89,30844.66,31371.12
13-May-20,32841.87,32845.48,31901.92,32008.61
14-May-20,31466.33,31630.94,31052.65,31122.89
15-May-20,31296.28,31296.28,30770.48,31097.73
18-May-20,31248.26,31248.26,29968.45,30028.98
19-May-20,30450.74,30739.96,30116.82,30196.17
20-May-20,30159.59,30878.31,30157.75,30818.61
21-May-20,30904.29,31188.79,30765.32,30932.9
22-May-20,30822.78,31107.91,30474.88,30672.59
26-May-20,30864.27,31086.7,30512.14,30609.3
27-May-20,30793.11,31660.6,30525.68,31605.22
28-May-20,31827.8,32267.23,31641.77,32200.59
29-May-20,32041.29,32480.52,31823.8,32424.1
